Aircraft (L1)	Aircraft (L2)
Aerospatiale / BAC	
	Concorde
Airbus	
	Airbus A220 Family
	Airbus A220-100
	Airbus A220-300
	Airbus A300
	Airbus A310 Family
	Airbus A310-200
	Airbus A310-300
	Airbus A318
	Airbus A319
	Airbus A320 Family
	Airbus A320-200
	Airbus A320neo
	Airbus A321 Family
	Airbus A321-200
	Airbus A321neo
	Airbus A330 Family
	Airbus A330-200
	Airbus A330-300
	Airbus A330-900neo
	Airbus A340-600
	Airbus A350-900
	Airbus A380-800
Alexander	
	Alexander Eaglerock Biplane Family
ATR	
	ATR 42
	ATR 72
Aviation Traders	
	Aviation Traders ATL-98 Carvair
Bach	
	Bach Air Yacht Family
	Bach Air Yacht 3-CT-2
	Bach Air Yacht 3-CT-5
Beech	
	Beech B17L Staggerwing
	Beech C17B Staggerwing
	Beechcraft 1900C
	Beechcraft 1900D
	Beech B99-airliner
Bellanca	
	Bellanca CH-300 Pacemaker
	Bellanca Skyrocket D
Benoist	
	Benoist Type XIV
Boeing	
	Boeing 204
	Boeing 221A Monomail
	Boeing 247 Family
	Boeing 247 Family
	Boeing 247
	Boeing 247D
	Boeing 2707 SST (Super Sonic Transport)
	Boeing 307 Stratoliner
	Boeing 314
	Boeing 377 Stratocruiser
	Boeing 40B-4
	Boeing 707 Family
	Boeing 707-120
	Boeing 707-320
	Boeing 717 Family
	Boeing 717-100
	Boeing 717-200
	Boeing 720 Family
	Boeing 720
	Boeing 720B
	Boeing 727 Family
	Boeing 727-100
	Boeing 727-200
	Boeing 727-200 (Advanced)
	Boeing 737 Family
	Boeing 737-200
	Boeing 737-200 (Advanced)
	Boeing 737-300
	Boeing 737-400
	Boeing 737-500
	Boeing 737-600
	Boeing 737-700
	Boeing 737-800
	Boeing 737-900
	Boeing 737-900ER
	Boeing 737 10 MAX (737-10)
	Boeing 747 Family
	Boeing 747-100
	Boeing 747-200
	Boeing 747-300
	Boeing 747-400
	Boeing 747SP
	Boeing 757 Family
	Boeing 757-200
	Boeing 757-200ER
	Boeing 757-300
	Boeing 767 Family
	Boeing 767-200
	Boeing 767-300
	Boeing 767-300ER
	Boeing 767-400ER
	Boeing 777 Family
	Boeing 777-200ER
	Boeing 777-200LR
	Boeing 777-300
	Boeing 777-300ER
	Boeing 787 Dreamliner Family
	Boeing 787-8 Dreamliner
	Boeing 787-9 Dreamliner
	Boeing 787-10 Dreamliner
	Boeing 80A-1
	Boeing 95
	Boeing B-17 Flying Fortress
	Boeing B-29 Superfortress
Bombardier	
	Bombardier CRJ Family
	Bombardier CRJ100
	Bombardier CRJ200
	Bombardier CRJ700
	Bombardier CRJ900
	Bombardier CRJ1000
Bristol	
	Bristol Britannia 305
British Aerospace	
	British Aerospace 146-200 (BAe 146-200)
	British Aerospace Avro RJ70 (BAe Avro RJ70)
	British Aerospace Avro RJ85 (BAe Avro RJ85)
	British Aerospace Jetstream 31 (BAe Jetstream 31)
	British Aerospace Jetstream 41 (BAe Jetstream 41)
CASA	
	CASA C-212 Aviocar
Cessna	
