Subject (L1)	Subject (L2)	Synonyms
Aircraft Action	 	 
	Air-to-Air	 
	Aircraft Catering	 
	Aircraft Cleaning	 
	Aircraft Fueling	 
	Aircraft Maintenance	 
	Aircraft Towing	 
	Deicing	anti ice; ice prevention
	In-Flight	flying
	Landing	 
	On the Ramp (Apron)	 
	Push Back	 
	Takeoff	 
	Taxiing	 
Accessibility	 	 
	Blind / Low Vision	 
	Disability / Disabled	 
	Electric Cart	 
	Hard of Hearing	 
	Intellectual Disability	 
	Service Animal	 
	Wheelchair Use	 
Aircraft Restoration	 	 
Aircraft Terms	 	 
	Aircraft Exterior	 
	Aircraft Interior	 
	Airframe	 
	Baggage Bin	 
	Belly	 
	Cabin	 
	Cargo Bin	 
	Door	 
	Emergency Exit	 
	Engine	 
	Flight Controls	 
	Flight Deck (Cockpit)	 
	Fuselage	 
	Galley	 
	In-Flight Entertainment System (IFE)	 
	Lavatory	 
	Landing Gear	 
	Lounge (onboard)	 
	Passenger Service Unit (PSU)	 
	Propeller	 
	Seat	 
	Special Livery	 
	Tail	 
	Tire	 
	Weather Radar	 
	Window	 
	Wheel	 
	Wing	 
Airport Facility	 	 
	Airport Exterior	 
	Airport Interior	 
	Apron (Ramp)	tarmac
	Baggage Claim	 
	Bag Room	 
	Cargo Facility	 
	Check-in	 
	Control Tower	 
	Customs	 
	Flight Information Display Screen (FIDS)	 
	Fuel Farm	 
	Gate (Gatehouse)	 
	Gate Information Display Screen (GIDS)	 
	Ground Transportation	 
	Hangar	 
	Jet Bridge	Jetway; boarding bridge
	Kiosk	 
	Lobby	 
	Lounge (airport)	 
	Runway	 
	Security Checkpoint	security screening
	Size Wise (Delta bag measurement system)	 
	Taxiway	 
	Terminal	 
Airline Alliances and Partnerships	 	 
	Atlantic Excellence Alliance 	 
	Global Excellence Alliance 	 
	SkyTeam	 
Air Traffic Control (ATC)	 	 
Associations	 	 
	Delta Clipped Wings	 
	Delta Community Credit Union	 
	Delta Golden Wings	 
	Delta Pioneers	 
Awards / Recognition	 	 
Baggage (luggage)	 	 
	Checked	 
	Carry-on	 
	Bag Cart	 
CEOs	 	 
	C.E. Woolman	 
	Charles Dolson 	 
	W.T. Beebe 	 
	Dave Garrett 	 
	Ron Allen 	 
	Leo Mullin 	 
